year,EC,STP,LTP,CAHP,all
2000,0,0,0,0,0
2001,0,0,0,0,0
2002,0,0,0,0,0
2003,0,0,0,0,0
2004,0,0,0,0,0
2005,0.022754087308275744,0.035828025477707005,0,0,0.02358490566037736
2006,0,0,0,0,0
2007,0.026292802236198464,0.03413400758533502,0,0,0.026762402088772844
2008,0.030093581330330448,0.0392156862745098,0,0,0.030628928532500092
2009,0.03951367781155015,0.05056759545923633,0.021739130434782608,0,0.040179725885699506
2010,0.05391680511582709,0.06583969465648855,0.019230769230769232,0,0.05459778554436254
2011,0.078951885119286,0.08598993288590603,0.08,0,0.07940201112537441
2012,0.12041911974479343,0.1298456906285284,0.14754098360655737,0,0.12106602059357965
